Date,Open,High,Low,Close,Adj Close,Volume
2017-06-05,8.050000,8.080000,7.910000,7.980000,7.842525,23100
2017-06-06,7.620000,7.800000,7.620000,7.770000,7.636142,56300
2017-06-07,7.490000,7.710000,7.460000,7.600000,7.469071,13800
2017-06-08,7.740000,7.740000,7.440000,7.500000,7.370793,7600
2017-06-09,7.500000,7.520000,7.350000,7.370000,7.243033,5700
2017-06-12,7.290000,7.350000,7.290000,7.350000,7.223378,16200
2017-06-13,7.310000,7.310000,7.250000,7.270000,7.144756,19400
2017-06-14,7.290000,7.450000,7.290000,7.360000,7.233205,11000
2017-06-15,7.380000,7.550000,7.360000,7.390000,7.262689,32500
2017-06-16,7.510000,7.530000,7.320000,7.530000,7.400277,13800
2017-06-19,7.680000,7.700000,7.460000,7.460000,7.331483,3800
2017-06-20,7.400000,7.420000,7.200000,7.420000,7.292172,19100
2017-06-21,7.320000,7.330000,7.200000,7.290000,7.164411,8100
2017-06-22,7.310000,7.330000,7.100000,7.270000,7.144756,5800
2017-06-23,7.220000,7.320000,7.110000,7.150000,7.026823,3900
2017-06-26,7.220000,7.370000,7.200000,7.350000,7.223378,13500
2017-06-27,7.340000,7.340000,7.220000,7.300000,7.174239,7400
2017-06-28,7.420000,7.440000,7.240000,7.240000,7.115273,6700
2017-06-29,7.480000,7.480000,7.270000,7.270000,7.144756,9800
2017-06-30,7.500000,7.500000,7.400000,7.400000,7.272516,21500
2017-07-03,7.270000,7.400000,7.150000,7.240000,7.115273,5700
2017-07-05,7.000000,7.030000,6.830000,6.970000,6.849924,11100
2017-07-06,6.790000,6.900000,6.790000,6.870000,6.751647,69400
2017-07-07,6.860000,6.860000,6.730000,6.780000,6.663198,15300
2017-07-10,6.870000,6.880000,6.810000,6.860000,6.741819,6500
2017-07-11,6.820000,6.980000,6.820000,6.930000,6.810613,46800
2017-07-12,7.160000,7.180000,6.970000,7.090000,6.967857,8600
2017-07-13,7.200000,7.300000,7.200000,7.200000,7.075962,5300
2017-07-14,7.280000,7.300000,7.250000,7.250000,7.125101,11500
2017-07-17,7.010000,7.120000,7.010000,7.090000,6.967857,36100
2017-07-18,7.270000,7.290000,7.060000,7.060000,6.938374,6000
2017-07-19,7.300000,7.320000,7.100000,7.210000,7.085790,4100
2017-07-20,7.210000,7.230000,7.020000,7.150000,7.026823,18200
2017-07-21,7.350000,7.350000,7.150000,7.220000,7.095617,5700
2017-07-24,7.190000,7.290000,7.090000,7.260000,7.134928,5900
2017-07-25,7.280000,7.300000,7.130000,7.150000,7.026823,6600
2017-07-26,7.080000,7.240000,7.060000,7.130000,7.007168,9600
2017-07-27,7.230000,7.230000,7.100000,7.160000,7.036651,8100
2017-07-28,7.090000,7.200000,7.090000,7.140000,7.016995,13700
2017-07-31,7.060000,7.230000,7.000000,7.200000,7.075962,7600
2017-08-01,6.750000,7.370000,6.750000,7.100000,6.977684,19700
2017-08-02,7.200000,7.220000,7.120000,7.220000,7.095617,5100
2017-08-03,7.190000,7.190000,7.000000,7.040000,6.918718,18100
2017-08-04,7.180000,7.180000,6.980000,6.980000,6.859752,9200
2017-08-07,7.170000,7.190000,7.030000,7.040000,6.918718,12900
2017-08-08,7.050000,7.050000,7.030000,7.050000,6.928546,5100
2017-08-09,7.300000,7.360000,7.290000,7.340000,7.213550,34200
2017-08-10,7.690000,7.690000,7.460000,7.500000,7.370793,32000
2017-08-11,7.450000,7.450000,7.370000,7.380000,7.252861,9200
2017-08-14,7.360000,7.360000,7.230000,7.230000,7.105445,14000
2017-08-15,7.330000,7.350000,7.140000,7.310000,7.184067,23900
2017-08-16,7.420000,7.440000,7.240000,7.340000,7.213550,9500
2017-08-17,7.440000,7.440000,7.330000,7.440000,7.311827,7800
2017-08-18,7.180000,7.360000,7.160000,7.160000,7.036651,9600
2017-08-21,7.410000,7.410000,7.200000,7.300000,7.174239,13800
2017-08-22,7.210000,7.440000,7.210000,7.380000,7.252861,12900
2017-08-23,7.440000,7.460000,7.220000,7.220000,7.095617,7700
2017-08-24,7.520000,7.540000,7.300000,7.540000,7.410104,4500
2017-08-25,7.590000,7.590000,7.370000,7.420000,7.292172,5900
2017-08-28,7.380000,7.530000,7.380000,7.530000,7.400277,35800
2017-08-29,7.380000,7.400000,7.350000,7.390000,7.262689,9200
2017-08-30,7.380000,7.400000,7.220000,7.220000,7.095617,1400
2017-08-31,7.330000,7.350000,7.130000,7.180000,7.056306,11100
2017-09-01,7.310000,7.360000,7.170000,7.310000,7.184067,7500
2017-09-05,7.180000,7.200000,7.050000,7.200000,7.075962,5800
2017-09-06,7.180000,7.200000,7.030000,7.200000,7.075962,5100
2017-09-07,7.040000,7.150000,6.930000,7.110000,6.987513,6000
2017-09-08,7.020000,7.150000,6.890000,6.930000,6.810613,23400
2017-09-11,6.250000,6.300000,6.250000,6.270000,6.161983,437700
2017-09-12,6.390000,6.440000,6.300000,6.310000,6.201294,543900
2017-09-13,6.520000,6.520000,6.270000,6.350000,6.240605,154400
2017-09-14,6.400000,6.450000,6.300000,6.360000,6.250433,174100
2017-09-15,6.590000,6.590000,6.560000,6.570000,6.456815,391300
2017-09-18,6.790000,6.810000,6.580000,6.700000,6.584575,299400
2017-09-19,6.760000,6.780000,6.580000,6.650000,6.535437,4500
2017-09-20,6.800000,6.820000,6.630000,6.680000,6.564920,3900
2017-09-21,6.750000,6.770000,6.640000,6.720000,6.604231,23700
2017-09-22,6.720000,6.740000,6.610000,6.630000,6.515781,31700
2017-09-25,6.640000,6.640000,6.450000,6.450000,6.338882,10400
2017-09-26,6.580000,6.640000,6.510000,6.600000,6.486298,17900
2017-09-27,6.610000,6.640000,6.510000,6.640000,6.525609,7200
2017-09-28,6.950000,6.950000,6.740000,6.950000,6.830268,10900
2017-09-29,6.980000,7.000000,6.950000,7.000000,6.879407,4900
2017-10-02,6.970000,7.020000,6.970000,7.010000,6.889235,23400
2017-10-03,7.150000,7.280000,7.130000,7.230000,7.105445,12200
2017-10-04,7.190000,7.240000,7.050000,7.200000,7.075962,8100
2017-10-05,7.210000,7.230000,7.050000,7.200000,7.075962,8500
2017-10-06,7.390000,7.390000,7.280000,7.330000,7.203722,15600
2017-10-09,7.360000,7.580000,7.310000,7.580000,7.449415,10800
2017-10-10,7.340000,7.580000,7.340000,7.540000,7.410104,3800
2017-10-11,7.750000,7.750000,7.520000,7.660000,7.528037,5300
2017-10-12,7.550000,7.770000,7.550000,7.750000,7.616487,10700
2017-10-13,7.640000,7.650000,7.580000,7.650000,7.518209,8700
2017-10-16,7.500000,7.510000,7.370000,7.460000,7.331483,6000
2017-10-17,7.380000,7.450000,7.300000,7.450000,7.321655,12500
2017-10-18,7.140000,7.140000,7.010000,7.080000,6.958029,16800
2017-10-19,7.000000,7.040000,6.980000,6.990000,6.869579,21900
2017-10-20,6.970000,6.990000,6.810000,6.810000,6.692680,11300
2017-10-23,7.020000,7.040000,6.880000,6.950000,6.830268,10200
2017-10-24,6.800000,7.000000,6.790000,7.000000,6.879407,20500
2017-10-25,7.010000,7.010000,6.800000,6.850000,6.731991,9600
2017-10-26,6.810000,6.950000,6.810000,6.950000,6.830268,6000
2017-10-27,6.950000,6.980000,6.910000,6.920000,6.800786,8300
2017-10-30,6.960000,7.060000,6.850000,6.960000,6.840096,7100
2017-10-31,6.930000,6.970000,6.800000,6.970000,6.849924,14000
2017-11-01,6.870000,6.940000,6.670000,6.940000,6.820441,12100
2017-11-02,6.750000,6.930000,6.730000,6.830000,6.712336,9600
2017-11-03,6.940000,6.970000,6.720000,6.960000,6.840096,6400
2017-11-06,6.650000,6.960000,6.650000,6.850000,6.731991,3600
2017-11-07,6.850000,6.900000,6.740000,6.870000,6.751647,6600
2017-11-08,6.660000,6.700000,6.520000,6.690000,6.574748,9900
2017-11-09,6.880000,6.880000,6.670000,6.670000,6.555092,20900
2017-11-10,6.530000,6.690000,6.530000,6.650000,6.535437,15500
2017-11-13,6.540000,6.710000,6.520000,6.580000,6.466643,26200
2017-11-14,6.450000,6.580000,6.410000,6.510000,6.397849,21300
2017-11-15,6.360000,6.520000,6.340000,6.340000,6.230778,11800
2017-11-16,6.480000,6.570000,6.390000,6.500000,6.388021,20500
2017-11-17,6.610000,6.610000,6.470000,6.530000,6.417504,9100
2017-11-20,6.540000,6.690000,6.490000,6.660000,6.545265,36300
2017-11-21,6.550000,6.700000,6.500000,6.500000,6.388021,6800
2017-11-22,6.720000,6.800000,6.620000,6.670000,6.555092,27100
2017-11-24,6.520000,6.740000,6.490000,6.740000,6.623886,8900
2017-11-27,6.650000,6.770000,6.550000,6.550000,6.437160,24400
2017-11-28,6.660000,6.770000,6.540000,6.590000,6.476471,20700
2017-11-29,6.610000,6.710000,6.610000,6.660000,6.545265,14500
2017-11-30,6.890000,6.910000,6.710000,6.750000,6.633714,18700
2017-12-01,6.910000,7.020000,6.800000,7.020000,6.899063,39800
2017-12-04,7.110000,7.330000,7.110000,7.150000,7.026823,53600
2017-12-05,6.990000,7.050000,6.870000,7.000000,6.879407,31000
2017-12-06,7.050000,7.190000,6.910000,7.180000,7.056306,24000
2017-12-07,6.920000,7.130000,6.900000,6.900000,6.781130,13700
2017-12-08,7.290000,7.320000,7.060000,7.080000,6.958029,13900
2017-12-11,7.060000,7.230000,7.040000,7.100000,6.977684,39800
2017-12-12,7.230000,7.390000,7.190000,7.270000,7.144756,12000
2017-12-13,7.230000,7.370000,7.230000,7.320000,7.193895,32100
2017-12-14,7.060000,7.290000,7.060000,7.290000,7.164411,12600
2017-12-15,7.220000,7.250000,7.070000,7.070000,6.948202,28700
2017-12-18,7.120000,7.280000,7.060000,7.250000,7.125101,43600
2017-12-19,7.110000,7.140000,7.050000,7.050000,6.928546,25700
2017-12-20,7.060000,7.250000,7.040000,7.080000,6.958029,16200
2017-12-21,7.030000,7.260000,7.030000,7.040000,6.918718,33600
2017-12-22,7.090000,7.160000,6.990000,7.000000,6.879407,22600
2017-12-26,7.010000,7.140000,6.990000,7.120000,6.997340,20300
2017-12-27,7.160000,7.320000,7.110000,7.210000,7.085790,53900
2017-12-28,7.100000,7.260000,7.100000,7.250000,7.125101,85800
2017-12-29,7.190000,7.300000,7.080000,7.300000,7.174239,15500
2018-01-02,7.230000,7.230000,7.120000,7.200000,7.075962,30600
2018-01-03,7.620000,7.630000,7.400000,7.470000,7.341310,13100
2018-01-04,7.650000,7.650000,7.530000,7.570000,7.439588,34500
2018-01-05,7.530000,7.600000,7.360000,7.540000,7.410104,13000
2018-01-08,7.400000,7.610000,7.400000,7.540000,7.410104,24100
2018-01-09,7.730000,7.750000,7.520000,7.700000,7.567348,28000
2018-01-10,7.690000,7.710000,7.530000,7.600000,7.469071,16500
2018-01-11,7.630000,7.680000,7.580000,7.650000,7.518209,13200
2018-01-12,7.720000,7.750000,7.570000,7.740000,7.606658,25100
2018-01-16,7.600000,7.710000,7.490000,7.650000,7.518209,65500
2018-01-17,7.760000,7.820000,7.610000,7.750000,7.616487,11400
2018-01-18,8.000000,8.030000,7.900000,7.940000,7.803214,21800
2018-01-19,8.300000,8.470000,8.300000,8.330000,8.186495,25300
2018-01-22,8.810000,8.900000,8.730000,8.850000,8.697536,32100
2018-01-23,8.740000,8.810000,8.540000,8.770000,8.618915,20700
2018-01-24,8.530000,8.800000,8.530000,8.790000,8.638570,5000
2018-01-25,8.660000,8.660000,8.570000,8.580000,8.432188,24700
2018-01-26,8.430000,8.430000,8.280000,8.300000,8.157012,25400
2018-01-29,8.100000,8.220000,8.100000,8.140000,7.999768,14200
2018-01-30,8.350000,8.370000,8.140000,8.330000,8.186495,15300
2018-01-31,8.200000,8.310000,8.200000,8.280000,8.137356,51200
2018-02-01,7.810000,8.050000,7.780000,7.950000,7.813041,29900
2018-02-02,8.150000,8.410000,8.100000,8.100000,7.960457,16800
2018-02-05,8.460000,8.530000,8.190000,8.190000,8.048906,10500
2018-02-06,7.990000,8.410000,7.800000,8.320000,8.176666,11600
2018-02-07,7.990000,8.140000,7.900000,8.070000,7.930974,10900
2018-02-08,8.230000,8.250000,8.050000,8.220000,8.078390,6800
2018-02-09,7.860000,8.080000,7.780000,7.980000,7.842525,16000
2018-02-12,7.720000,7.980000,7.700000,7.910000,7.773730,6400
2018-02-13,7.750000,8.080000,7.750000,8.080000,7.940802,11500
2018-02-14,7.950000,8.000000,7.800000,7.930000,7.793386,5500
2018-02-15,8.150000,8.220000,7.960000,7.960000,7.822869,8000
2018-02-16,7.980000,8.220000,7.980000,8.120000,7.980113,16100
2018-02-20,8.190000,8.220000,7.950000,8.170000,8.029251,18700
2018-02-21,8.280000,8.310000,8.050000,8.310000,8.166840,9600
2018-02-22,8.390000,8.420000,8.300000,8.330000,8.186495,25100
2018-02-23,8.390000,8.500000,8.350000,8.500000,8.353566,11900
2018-02-26,8.470000,8.470000,8.250000,8.370000,8.225805,23100
2018-02-27,8.390000,8.410000,8.240000,8.240000,8.098045,9800
2018-02-28,8.060000,8.350000,8.060000,8.280000,8.137356,17300
2018-03-01,8.190000,8.280000,8.080000,8.220000,8.078390,5800
2018-03-02,8.120000,8.150000,8.020000,8.140000,7.999768,6700
2018-03-05,8.190000,8.230000,8.050000,8.220000,8.078390,5200
2018-03-06,8.330000,8.330000,8.190000,8.190000,8.048906,18100
2018-03-07,8.250000,8.280000,8.050000,8.090000,7.950629,7700
2018-03-08,8.280000,8.320000,8.160000,8.160000,8.019423,42500
2018-03-09,8.230000,8.360000,8.190000,8.360000,8.215978,37100
2018-03-12,9.250000,9.390000,9.190000,9.190000,9.031678,97400
